//Provides list of users

@@ "DefaultUser"
"EMAIL_ADDRESS","PASS","FIRST_NAME","LAST_NAME","NICK_NAME","EMPLOYEE_ID","PHONE_NUMBER","IS_MANAGER","IS_SHIFT_MANAGER","IS_ACTIVE","IS_MALE","MIN_HOURS","MAX_HOURS","LINE_1","LINE_2","CITY","STATE","ZIP_CODE","COUNTRY","VERSION_NAME","CREATED"
"Manager@emails.com","1234567890","first","last","Default_Manager","fake","1234567890","1","0","1","1","","","","","","","","","Test_Version","1"
"","1234567890","first","last","Emp#1","fake","1234567890","0","0","1","1","19","19","","","","","","","Test_Version","0"
"","1234567890","first","last","Emp#2","fake","1234567890","0","0","1","1","19","19","","","","","","","Test_Version2","0"
"","1234567890","first","last","Emp#1","fake","1234567890","0","0","1","1","6","19","","","","","","","StartupScenario","0"
"","1234567890","first","last","Emp#2","fake","1234567890","0","0","1","1","6","19","","","","","","","StartupScenario","0"
"AprilReese@emails.com","1234567890", "April", "Reese", "April", "9AA506C0-93A5-4729-BF4F-0630F6CD9261", "1234567890", "0", "0", "1", "1", "0.0", "19.5", "", "", "", "", "", "", "Test_Scenario", "0"
"IrmaCraig@emails.com","1234567890", "Irma", "Craig", "Irma", "869F7B1B-A13C-4DFC-A49D-09E2DC279665", "1234567890", "0", "0", "1", "1", "19.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"
"EmilyMcbride@emails.com","1234567890", "Emily", "Mcbride", "Emily", "12EDD092-B876-4108-A82B-19BE6B30D559", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"CodyWolfe@emails.com","1234567890", "Cody", "Wolfe", "Cody", "FE3900ED-6932-4A8E-978B-1A325DD094E9", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"BethGilbert@emails.com","1234567890", "Beth", "Gilbert", "Beth", "A76FD053-BC49-49BE-9F70-2298D752FAB8", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"TashaGuerrero@emails.com","1234567890", "Tasha", "Guerrero", "Tasha", "66C7FC69-9D22-4AC7-9D17-28678D211708", "1234567890", "0", "0", "1", "1", "19.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"
"CedricAndrews@emails.com","1234567890", "Cedric", "Andrews", "Cedric", "A70C5129-A418-4C03-ABF2-3267D0E31E48", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"GuillermoThompson@emails.com","1234567890", "Guillermo", "Thompson", "Guillermo", "E8EC3E51-02C8-4329-8241-3404AC0654D2", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"DonnaCooper@emails.com","1234567890", "Donna", "Cooper", "Donna", "4504D6F9-0FD7-4F7B-A3AC-45B16C1B7659", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"BarbaraTownsend@emails.com","1234567890", "Barbara", "Townsend", "Barbara", "739F309C-1143-4809-BE0A-619988B0D05D", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"WandaFields@emails.com","1234567890", "Wanda", "Fields", "Wanda", "C8EF6E60-B5D4-40EA-81A0-6C313787DE6F", "1234567890", "0", "0", "1", "1", "0.0", "19.5", "", "", "", "", "", "", "Test_Scenario", "0"
"JanieDelgado@emails.com","1234567890", "Janie", "Delgado", "Janie", "2C03C72B-42FC-4AE7-8F42-741323150B67", "1234567890", "0", "0", "1", "1", "19.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"
"EliasKing@emails.com","1234567890", "Elias", "King", "Elias", "6CE1637F-39F6-490D-83CF-89FFB12E1B6A", "1234567890", "0", "0", "1", "1", "1.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"
"JeanetteLloyd@emails.com","1234567890", "Jeanette", "Lloyd", "Jeanette", "A14A32A8-3485-4AE3-98A1-9A3FCD67ED7B", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"AllanMorrison@emails.com","1234567890", "Allan", "Morrison", "Allan", "4CA95BD6-4CC3-4566-9D8F-9AADF2BA8BD4", "1234567890", "0", "0", "1", "1", "18.0", "18.0", "", "", "", "", "", "", "Test_Scenario", "0"
"JodyMclaughlin@emails.com","1234567890", "Jody", "Mclaughlin", "Jody", "EF93DDB2-66F2-463C-9AA7-A369D9E78720", "1234567890", "0", "0", "1", "1", "19.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"
"HaroldDiaz@emails.com","1234567890", "Harold", "Diaz", "Harold", "8E579256-D7FA-4C05-964A-B764BA7E13FB", "1234567890", "0", "0", "1", "1", "19.0", "26.0", "", "", "", "", "", "", "Test_Scenario", "0"
"MindyCasey@emails.com","1234567890", "Mindy", "Casey", "Mindy", "6051DAAC-748F-4DEE-8A67-D5D0C59E13D5", "1234567890", "0", "0", "1", "1", "0.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"
"ChadLogan@emails.com","1234567890", "Chad", "Logan", "Chad", "C62FF99A-DE3A-423C-9BAE-E1CC6E18D5DE", "1234567890", "0", "0", "1", "1", "0.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"EugeneHouston@emails.com","1234567890", "Eugene", "Houston", "Eugene", "3D18994E-4E41-4F94-ADD1-E93C782A2360", "1234567890", "0", "0", "1", "1", "19.0", "19.0", "", "", "", "", "", "", "Test_Scenario", "0"
"KristopherSilva@emails.com","1234567890", "Kristopher", "Silva", "Kristopher", "57EF83F4-6B22-4D81-B59D-F37CE41B8D92", "1234567890", "0", "0", "1", "1", "0.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"
"RickeyReynolds@emails.com","1234567890", "Rickey", "Reynolds", "Rickey", "A0E131B3-CABC-4661-AE6F-FE8A3AD2104F", "1234567890", "0", "0", "1", "1", "1.0", "30.0", "", "", "", "", "", "", "Test_Scenario", "0"

@@ "Create"
"EMAIL_ADDRESS","FIRST_NAME","LAST_NAME","NICK_NAME","EMPLOYEE_ID","PHONE_NUMBER","IS_MANAGER","IS_SHIFT_MANAGER","IS_ACTIVE","IS_MALE","MIN_HOURS","MAX_HOURS","LINE_1","LINE_2","CITY","STATE","ZIP_CODE","COUNTRY","VERSION_NAME","VALID"
"","first","last","nick","fake","1234567890","1","0","1","1","","","","","","","","","Test_Version","1"
"","first","last","nick","fake","1234567890","1","0","1","1","19","19","","","","","","","Test_Version","1"
"","first","last","nick","fake","1234567890","1","0","1","1","","","123 street","door 2","plano","texas","75075","usa","Test_Version","1"
"","first","last","nick","fake","1234567890","1","0","1","1","19","19","123 street","door 2","plano","texas","75075","usa","Test_Version","1"
"","","","","","","","","","","","","","","","","","","Test_Version","0"
"","first","","","","","","","","","","","","","","","","","Test_Version","0"
"","first","last","","","","","","","","","","","","","","","","Test_Version","0"
"","first","last","nick","","","","","","","","","","","","","","","Test_Version","0"
