//Provides list of users

@@ "Users"
"HANDLE","EMAIL_ADDRESS","IS_MANAGER","IS_SHIFT_MANAGER"
"DefaultUser","Manager@emails.com","1","0"

@@ "Create"
"EMAIL_ADDRESS","FIRST_NAME","LAST_NAME","NICK_NAME","EMPLOYEE_ID","PHONE_NUMBER","IS_MANAGER","IS_SHIFT_MANAGER","IS_ACTIVE","IS_MALE","MIN_HOURS","MAX_HOURS","LINE_1","LINE_2","CITY","STATE","ZIPCODE","COUNTRY","VERSION_ID","VALID"
"","first","last","nick","fake","1234567890","1","0","1","1","","","","","","","","","","1"
"","first","last","nick","fake","1234567890","1","0","1","1","19","19","","","","","","","","1"
"","first","last","nick","fake","1234567890","1","0","1","1","","","123 street","door 2","plano","texas","75075","usa","","1"
"","first","last","nick","fake","1234567890","1","0","1","1","19","19","123 street","door 2","plano","texas","75075","usa","","1"
"","","","","","","","","","","","","","","","","","","","","0"
"","first","","","","","","","","","","","","","","","","","","","0"
"","first","last","","","","","","","","","","","","","","","","","","0"
"","first","last","nick","","","","","","","","","","","","","","","","","0"
"","first","last","nick","fake","","","","","","","","","","","","","","","","0"
"","first","last","nick","fake","","","","","","","","","","","","","","","","0"
"","first","last","nick","fake","","","","","","","","","123 street","","","","","","","0"
"","first","last","nick","fake","","","","","","","","","123 street","door 2","","","","","","0"
"","first","last","nick","fake","","","","","","","","","123 street","door 2","plano","","","","","0"
"","first","last","nick","fake","","","","","","","","","123 street","door 2","plano","texas","","","","0"
"","first","last","nick","fake","","","","","","","","","123 street","door 2","plano","texas","75075","","","0"
